;Level1;art;p_text;p_num;p_text_old
10;III. Lohn bei Verhinderung an der Arbeitsleistung;art_324_b;Ist der Arbeitnehmer auf Grund gesetzlicher Vorschrift gegen die wirtschaftlichen Folgen unverschuldeter Arbeitsverhinderung aus Gründen, die in seiner Person liegen, obligatorisch versichert, so hat der Arbeitgeber den Lohn nicht zu entrichten, wenn die für die beschränkte Zeit geschuldeten Versicherungsleistungen mindestens vier Fünftel des darauf entfallenden Lohnes decken. Sind die Versicherungsleistungen geringer, so hat der Arbeitgeber die Differenz zwischen diesen und vier Fünfteln des Lohnes zu entrichten. Werden die Versicherungsleistungen erst nach einer Wartezeit gewährt, so hat der Arbeitgeber für diese Zeit mindestens vier Fünftel des Lohnes zu entrichten.;para_1 para_2 para_3;"Ist der Arbeitnehmer auf Grund gesetzlicher Vorschrift gegen die wirtschaftlichen Folgen unverschuldeter Arbeitsverhinderung aus Gründen, die in seiner Person liegen, obligatorisch versichert, so hat der Arbeitgeber den Lohn nicht zu entrichten, wenn die für die beschränkte Zeit geschuldeten Versicherungsleistungen mindestens vier Fünftel des darauf entfallenden Lohnes decken. Sind die Versicherungsleistungen geringer, so hat der Arbeitgeber die Differenz zwischen diesen und vier Fünfteln des Lohnes zu entrichten. {'authorialNote': {'p': {'ref': [{'@href': 'https://fedlex.data.admin.ch/eli/oc/1982/1676_1676_1676', 'b': '1982', '#text': 'AS  1676'}, {'@href': 'https://fedlex.data.admin.ch/eli/oc/1982/1724_1724_1724', '#text': '1724'}, {'@href': 'https://fedlex.data.admin.ch/eli/fga/1976/3_141_143_155', 'b': '1976', '#text': 'BBl  III 141'}], '#text': 'Eingefügt durch Anhang Ziff. 12 des Unfallversicherungsgesetzes vom 20. März 1981,  in Kraft seit 1. Jan. 1984 (Art. 1 Abs. 1; ).'}}, '#text': 'Werden die Versicherungsleistungen erst nach einer Wartezeit gewährt, so hat der Arbeitgeber für diese Zeit mindestens vier Fünftel des Lohnes zu entrichten.'}"
11;IV. Abtretung und Verpfändung von Lohnforderungen;art_325;"Zur Sicherung familienrechtlicher Unterhalts- und Unterstützungspflichten kann der Arbeitnehmer künftige Lohnforderungen so weit abtreten oder verpfänden, als sie pfändbar sind; auf Ansuchen eines Beteiligten setzt das Betreibungsamt am Wohnsitz des Arbeitnehmers den nach Artikel 93 des Schuldbetreibungs- und Konkursgesetzes vom 11. April 1889 unpfändbaren Betrag fest. Die Abtretung und die Verpfändung künftiger Lohnforderungen zur Sicherung anderer Verbindlichkeiten sind nichtig.";para_1 para_2;"{'authorialNote': {'p': {'ref': {'@href': 'https://fedlex.data.admin.ch/eli/cc/11/529_488_529', 'b': '281.1', '#text': 'SR'}}}, '#text': 'Zur Sicherung familienrechtlicher Unterhalts- und Unterstützungspflichten kann der Arbeitnehmer künftige Lohnforderungen so weit abtreten oder verpfänden, als sie pfändbar sind; auf Ansuchen eines Beteiligten setzt das Betreibungsamt am Wohnsitz des Arbeitnehmers den nach Artikel 93 des Schuldbetreibungs- und Konkursgesetzes vom 11. April 1889 unpfändbaren Betrag fest.'} Die Abtretung und die Verpfändung künftiger Lohnforderungen zur Sicherung anderer Verbindlichkeiten sind nichtig."
12;IX. Übrige;art_330;Übergibt der Arbeitnehmer zur Sicherung seiner Verpflichtungen aus dem Arbeitsverhältnis dem Arbeitgeber eine Kaution, so hat sie dieser von seinem Vermögen getrennt zu halten und ihm dafür Sicherheit zu leisten. Der Arbeitgeber hat die Kaution spätestens bei Beendigung des Arbeitsverhältnisses zurückzugeben, sofern nicht durch schriftliche Abrede der Zeitpunkt der Rückgabe hinausgeschoben ist. Macht der Arbeitgeber Forderungen aus dem Arbeitsverhältnis geltend und sind diese streitig, so kann er die Kaution bis zum Entscheid darüber insoweit zurückbehalten, muss aber auf Verlangen des Arbeitnehmers den zurückbehaltenen Betrag gerichtlich hinterlegen. Im Konkurs des Arbeitgebers kann der Arbeitnehmer die Rückgabe der von dem Vermögen des Arbeitgebers getrennt gehaltenen Kaution verlangen, unter Vorbehalt der Forderungen des Arbeitgebers aus dem Arbeitsverhältnis.;para_1 para_2 para_3 para_4;Übergibt der Arbeitnehmer zur Sicherung seiner Verpflichtungen aus dem Arbeitsverhältnis dem Arbeitgeber eine Kaution, so hat sie dieser von seinem Vermögen getrennt zu halten und ihm dafür Sicherheit zu leisten. Der Arbeitgeber hat die Kaution spätestens bei Beendigung des Arbeitsverhältnisses zurückzugeben, sofern nicht durch schriftliche Abrede der Zeitpunkt der Rückgabe hinausgeschoben ist. Macht der Arbeitgeber Forderungen aus dem Arbeitsverhältnis geltend und sind diese streitig, so kann er die Kaution bis zum Entscheid darüber insoweit zurückbehalten, muss aber auf Verlangen des Arbeitnehmers den zurückbehaltenen Betrag gerichtlich hinterlegen. Im Konkurs des Arbeitgebers kann der Arbeitnehmer die Rückgabe der von dem Vermögen des Arbeitgebers getrennt gehaltenen Kaution verlangen, unter Vorbehalt der Forderungen des Arbeitgebers aus dem Arbeitsverhältnis.
13;IX. Übrige;art_330_a;Der Arbeitnehmer kann jederzeit vom Arbeitgeber ein Zeugnis verlangen, das sich über die Art und Dauer des Arbeitsverhältnisses sowie über seine Leistungen und sein Verhalten ausspricht. Auf besonderes Verlangen des Arbeitnehmers hat sich das Zeugnis auf Angaben über die Art und Dauer des Arbeitsverhältnisses zu beschränken.;para_1 para_2;Der Arbeitnehmer kann jederzeit vom Arbeitgeber ein Zeugnis verlangen, das sich über die Art und Dauer des Arbeitsverhältnisses sowie über seine Leistungen und sein Verhalten ausspricht. Auf besonderes Verlangen des Arbeitnehmers hat sich das Zeugnis auf Angaben über die Art und Dauer des Arbeitsverhältnisses zu beschränken.
14;IX. Übrige;art_330_b;Werden Vertragselemente, die nach Absatz 1 mitteilungspflichtig sind, während des Arbeitsverhältnisses geändert, so sind die Änderungen dem Arbeitnehmer spätestens einen Monat nachdem sie wirksam geworden sind, schriftlich mitzuteilen.;para_2;Werden Vertragselemente, die nach Absatz 1 mitteilungspflichtig sind, während des Arbeitsverhältnisses geändert, so sind die Änderungen dem Arbeitnehmer spätestens einen Monat nachdem sie wirksam geworden sind, schriftlich mitzuteilen.
15;V. Akkordlohnarbeit;art_326;Hat der Arbeitnehmer vertragsgemäss ausschliesslich Akkordlohnarbeit nur für einen Arbeitgeber zu leisten, so hat dieser genügend Arbeit zuzuweisen. Ist der Arbeitgeber ohne sein Verschulden ausserstande, vertragsgemässe Akkordlohnarbeit zuzuweisen oder verlangen die Verhältnisse des Betriebes vorübergehend die Leistung von Zeitlohnarbeit, so kann dem Arbeitnehmer solche zugewiesen werden. Ist der Zeitlohn nicht durch Abrede, Normalarbeitsvertrag oder Gesamtarbeitsvertrag bestimmt, so hat der Arbeitgeber dem Arbeitnehmer den vorher durchschnittlich verdienten Akkordlohn zu entrichten. Kann der Arbeitgeber weder genügend Akkordlohnarbeit noch Zeitlohnarbeit zuweisen, so bleibt er gleichwohl verpflichtet, nach den Vorschriften über den Annahmeverzug den Lohn zu entrichten, den er bei Zuweisung von Zeitlohnarbeit zu entrichten hätte.;para_1 para_2 para_3 para_4;Hat der Arbeitnehmer vertragsgemäss ausschliesslich Akkordlohnarbeit nur für einen Arbeitgeber zu leisten, so hat dieser genügend Arbeit zuzuweisen. Ist der Arbeitgeber ohne sein Verschulden ausserstande, vertragsgemässe Akkordlohnarbeit zuzuweisen oder verlangen die Verhältnisse des Betriebes vorübergehend die Leistung von Zeitlohnarbeit, so kann dem Arbeitnehmer solche zugewiesen werden. Ist der Zeitlohn nicht durch Abrede, Normalarbeitsvertrag oder Gesamtarbeitsvertrag bestimmt, so hat der Arbeitgeber dem Arbeitnehmer den vorher durchschnittlich verdienten Akkordlohn zu entrichten. Kann der Arbeitgeber weder genügend Akkordlohnarbeit noch Zeitlohnarbeit zuweisen, so bleibt er gleichwohl verpflichtet, nach den Vorschriften über den Annahmeverzug den Lohn zu entrichten, den er bei Zuweisung von Zeitlohnarbeit zu entrichten hätte.
16;V. Akkordlohnarbeit;art_326_a;Hat der Arbeitnehmer vertraglich Akkordlohnarbeit zu leisten, so hat ihm der Arbeitgeber den Akkordlohnansatz vor Beginn der einzelnen Arbeit bekanntzugeben. Unterlässt der Arbeitgeber diese Bekanntgabe, so hat er den Lohn nach dem für gleichartige oder ähnliche Arbeiten festgesetzten Ansatz zu entrichten.;para_1 para_2;Hat der Arbeitnehmer vertraglich Akkordlohnarbeit zu leisten, so hat ihm der Arbeitgeber den Akkordlohnansatz vor Beginn der einzelnen Arbeit bekanntzugeben. Unterlässt der Arbeitgeber diese Bekanntgabe, so hat er den Lohn nach dem für gleichartige oder ähnliche Arbeiten festgesetzten Ansatz zu entrichten.
17;VI. Arbeitsgeräte, Material und Auslagen;art_327;Ist nichts anderes verabredet oder üblich, so hat der Arbeitgeber den Arbeitnehmer mit den Geräten und dem Material auszurüsten, die dieser zur Arbeit benötigt. Stellt im Einverständnis mit dem Arbeitgeber der Arbeitnehmer selbst Geräte oder Material für die Ausführung der Arbeit zur Verfügung, so ist er dafür angemessen zu entschädigen, sofern nichts anderes verabredet oder üblich ist.;para_1 para_2;Ist nichts anderes verabredet oder üblich, so hat der Arbeitgeber den Arbeitnehmer mit den Geräten und dem Material auszurüsten, die dieser zur Arbeit benötigt. Stellt im Einverständnis mit dem Arbeitgeber der Arbeitnehmer selbst Geräte oder Material für die Ausführung der Arbeit zur Verfügung, so ist er dafür angemessen zu entschädigen, sofern nichts anderes verabredet oder üblich ist.
18;VI. Arbeitsgeräte, Material und Auslagen;art_327_a;Der Arbeitgeber hat dem Arbeitnehmer alle durch die Ausführung der Arbeit notwendig entstehenden Auslagen zu ersetzen, bei Arbeit an auswärtigen Arbeitsorten auch die für den Unterhalt erforderlichen Aufwendungen. Durch schriftliche Abrede, Normalarbeitsvertrag oder Gesamtarbeitsvertrag kann als Auslagenersatz eine feste Entschädigung, wie namentlich ein Taggeld oder eine pauschale Wochen- oder Monatsvergütung festgesetzt werden, durch die jedoch alle notwendig entstehenden Auslagen gedeckt werden müssen. Abreden, dass der Arbeitnehmer die notwendigen Auslagen ganz oder teilweise selbst zu tragen habe, sind nichtig.;para_1 para_2 para_3;Der Arbeitgeber hat dem Arbeitnehmer alle durch die Ausführung der Arbeit notwendig entstehenden Auslagen zu ersetzen, bei Arbeit an auswärtigen Arbeitsorten auch die für den Unterhalt erforderlichen Aufwendungen. Durch schriftliche Abrede, Normalarbeitsvertrag oder Gesamtarbeitsvertrag kann als Auslagenersatz eine feste Entschädigung, wie namentlich ein Taggeld oder eine pauschale Wochen- oder Monatsvergütung festgesetzt werden, durch die jedoch alle notwendig entstehenden Auslagen gedeckt werden müssen. Abreden, dass der Arbeitnehmer die notwendigen Auslagen ganz oder teilweise selbst zu tragen habe, sind nichtig.
19;VI. Arbeitsgeräte, Material und Auslagen;art_327_b;Benützt der Arbeitnehmer im Einverständnis mit dem Arbeitgeber für seine Arbeit ein von diesem oder ein von ihm selbst gestelltes Motorfahrzeug, so sind ihm die üblichen Aufwendungen für dessen Betrieb und Unterhalt nach Massgabe des Gebrauchs für die Arbeit zu vergüten. Stellt der Arbeitnehmer im Einverständnis mit dem Arbeitgeber selbst ein Motorfahrzeug, so sind ihm überdies die öffentlichen Abgaben für das Fahrzeug, die Prämien für die Haftpflichtversicherung und eine angemessene Entschädigung für die Abnützung des Fahrzeugs nach Massgabe des Gebrauchs für die Arbeit zu vergüten. …;para_1 para_2 para_3;"Benützt der Arbeitnehmer im Einverständnis mit dem Arbeitgeber für seine Arbeit ein von diesem oder ein von ihm selbst gestelltes Motorfahrzeug, so sind ihm die üblichen Aufwendungen für dessen Betrieb und Unterhalt nach Massgabe des Gebrauchs für die Arbeit zu vergüten. Stellt der Arbeitnehmer im Einverständnis mit dem Arbeitgeber selbst ein Motorfahrzeug, so sind ihm überdies die öffentlichen Abgaben für das Fahrzeug, die Prämien für die Haftpflichtversicherung und eine angemessene Entschädigung für die Abnützung des Fahrzeugs nach Massgabe des Gebrauchs für die Arbeit zu vergüten. {'authorialNote': {'p': {'ref': [{'@href': 'https://fedlex.data.admin.ch/eli/oc/1982/1676_1676_1676', 'b': '1982', '#text': 'AS  1676'}, {'@href': 'https://fedlex.data.admin.ch/eli/oc/1982/1724_1724_1724', '#text': '1724'}, {'@href': 'https://fedlex.data.admin.ch/eli/fga/1976/3_141_143_155', 'b': '1976', '#text': 'BBl  III 141'}], '#text': 'Aufgehoben durch Anhang Ziff. 12 des Unfallversicherungsgesetzes vom 20. März 1981, mit Wirkung seit 1. Jan. 1984 (Art. 1 Abs. 1; ).'}}, '#text': '…'}"
20;VI. Arbeitsgeräte, Material und Auslagen;art_327_c;Auf Grund der Abrechnung des Arbeitnehmers ist der Auslagenersatz jeweils zusammen mit dem Lohn auszurichten, sofern nicht eine kürzere Frist verabredet oder üblich ist. Hat der Arbeitnehmer zur Erfüllung der vertraglichen Pflichten regelmässig Auslagen zu machen, so ist ihm ein angemessener Vorschuss in bestimmten Zeitabständen, mindestens aber jeden Monat auszurichten.;para_1 para_2;Auf Grund der Abrechnung des Arbeitnehmers ist der Auslagenersatz jeweils zusammen mit dem Lohn auszurichten, sofern nicht eine kürzere Frist verabredet oder üblich ist. Hat der Arbeitnehmer zur Erfüllung der vertraglichen Pflichten regelmässig Auslagen zu machen, so ist ihm ein angemessener Vorschuss in bestimmten Zeitabständen, mindestens aber jeden Monat auszurichten.
